name,text_ingradiant,food_method
??????????????????,"- ?????????????????? ? 1 ??
- ?????? 1 ????????
- ??? 8-10 ??????
- ????? ????????",?????????????????? ???????????????????? ??????????????????????? ??????????? ??????????????????????? ????????? ???????????????? ???????????? ????????????????? ????????????? ??????????????????? ??????????????????????????????????? ????????????????????? ? ???????????? ??????????????????????? ?????????? ????????????????????????????? ???????????? ? ?????????? ?????????????????????
??????,"- ???????? 15 ????
- ?????? 1 ????
- ??????????? 1 ????
- ???????????????? (???? ?) 1 ????
- ??????? 2 ??
- ???
- ??????????
- ??????????
- ??????
- ?????
- ??????????? 1 ????
- ???????? 2 ????????
- ??????????????
- ???????
- ??????????
- ????????????
- ?????????
- ?????????????","????????????????????? ? ??????????????????? ??????????????????????? ?????????????????????????????????? ???????????????????????????????????????? ?????????????????????????????? ???????????????? ???????????????????????????????????????? ?????? ?????????????????? ????????????????????????????????? ?????????????????????????????? ???????????????????????????????? ? ???? ? ?????????? ??????????????????????? ?????????? ????????????????????? ???????????????????? ??????????????????????????? ? ????????????????



????????????????????????????????????? ?????????????????????????? ?????????????? ??????????????????????????????? ???????????????????????? (??????????????????????????????? ? ???????????????? ? ?????????????)"
???????,"- ?????????? ? ???????????? 1 ???
- ?????????? 1 ?????? ???? ?????????? 2 ????
- ???????? 1 ??????
- ???????????? 1/2 ??????
- ???? 1 ????????",??????????????????? ????????????????????????????????? ??????????????????? ?????????????????? ???????? ? ??????????? ????????????? ????????????????????? ??????????????
?????????,"- ?????????? 1/2 ????
- ???????? 1/2 ????
- ?????? 1/2 ????
- ?????????
- ???????????
- ???
- ????????
- ?????????
- ?????
- ?????????????? (??????????????????????)
- ???????
- ??????????? 1 ????",???????????????????? ????????????????? ? ????????????????????? ???????????????????????? ???????? ???? (?????????) ??????????????? ? ??????????????????????????????????? ? ?????????????????????? ? ?????????? ?????? ???????????????? ? ???????????????????? ?????????????????? ???????? ? ????????????????????? ???????????????????????? ?????????????????????????????????? ?????????????????????????????????????????????????????????? (?????????????????????????????????)
???????,"- ??????? 5 ???
- ???????? 5 ???
- ?????????? 1/4 ????????
- ???????? 1/2 ????????
- ???????? 5 ???
- ?????? 10 ???
- ?????
- ??????
- ??????
- ???????","??????????????????????? ?????????????????????????? ???????????????? ????????????????????????????????????? ?????????????????????????????????? ?????????? 10 ?????????? ???????????????????? ????????????????????? ????????????????????????? ????????????????????? ???????????????????????? ????????????????????????????????????? ??????? ?????? ?????? ?????? ???????????????????? ? ?????????????????????????? ??????????????????????? ???????????????????????????????????? ?????????? 12 ???? ????????????????????? ? ????? ????????????? ???????????????? ? ???????????????????? ?????????????????????????



**?????????????** ???????????? ?????? ??????????? ??????????"
???????,"- ?????????????? 5 ??????
- ?????? 2 1/2 ??????
- ??????????????????? 5 ??????
- ??????","??????????????????????????? ????????????????????????????????? ???????????????? ?????????????? ??????????????????????????? ???????????? ?????????????????????????????????????? ????????????????????????????????????????????????????????????????????



**????????** ?????????????????????????????????? ???????????????????????????????????????? ???????????????????????????? ? ???????????????????????????????????????????? ????????????????????"
??????????????,"- ???????????
- ?????????? 2 ???
- ?????? 5 ???
- ???????? 3 ???
- ?????????????-?????
- ?????
- ??????",?????? ?????? ??????????? ??????????????? ??????????????????????????????? ???? ??? ???????? ???????????????? ????????????????????? ??????????????????????????????????? ?????? ? ????????????????????????? ????? ????????????????????? ??????????? ?????????????????????????????????
????????????,"- ????? 5 ???
- ???????? 1/2 ????????
- ?????????????? 11 ????????
- ???????? 1 ????????
- ??????? 1 ????????
- ????? 1 ????????
- ????????? 2 - 3 ????????
- ?????????? 1 ????????
- ?????????????? 1 ????
- ???????????? 1 ????",??????????????????????????????????????????? ????????????????? ????????????? ???????????????????????????????????? ?????????????????????????????????????????? ???????????????? ? ???????????????????????? ? ???? ? ??? ?????? ???????????????????????? ???????????????????????????????? ??????? ?????? ???????? ??????? ????? ?????? ?????? ????????????? ???????????? ??????????????????????????????????? ??????????????? ??????? ??????????????? ? ?????????????? ???????????? ? ????? ????????????????????? ? ??????????????? ????????????????????????????????
??????????????,"- ??? 1 ???
- ????????? 3 ????????
- ??????? 2 ???
- ??????
- ??????????????????
- ???????
- ?????
- ??????????","?????????????????????? ????????????????????????????????????? ??????????????? ??????????????????????????? ???????????????????????? ???????????????????????? ?????????????? ?????? ??????? ?????????? ??????????????????????????? ??????????????????????????????????????????? ????????????????????????????????????????????????? ??????????????????????????????????? ????????????????????????????????? ? ?????????



**????????** ????????????????? ????????????"
?????????????,"- ?????? 3 ??
- ???? 4 ??
- ???????????
- ????????????
- ????????
- ?????
- ??????
- ??????",??????????????????????????????????? ?????????????? ???? ???????? ???? ??????????? ???????? ???????????????????? ?????????????????? (???????????) ?????????? ?????? ?????? ????? ?????????????? ?????????????????????????? ???????????????????????? ???????????
????????????????,"- ????????????????? 1 ????????
- ?????????????????????????????? ? 2 ????????
- ???
- ?????????
- ??????
- ?????????????
- ?????
- ??????????????",??? ?????? ????????? ?????????????????????????????????????? 1/4 ???? (1 ???????) ???????????????????????????????? ????????????? ????????????????? ?????????????????????? ???????????? ???????? ???????????????????????????? ???????????????????????????????????
????????????,"- ???????? 1/2 ????????
- ??????? 2 ???
- ????????? 2 ????????
- ??????? 1 ????
- ?????????????? 1/2 ???? ?????????????????????????? ? ???????????? 7x10 ??????????????????????????
- ???????? (?????????????) 1 ????????
- ????????????????? 1 ????
- ??????????????????????? 1 ????
- ??????????????? 1 ????
- ???????? 1 ??????
- ?????????? 1/2 ??????
- ?????????? 2 ??????
- ???????? 3 ????????
- ?????????? 1 ????????","???????????????????????????????????????????????? ??????? ???????????? 1 ???????? ??????????????????????? ???????????????????????????????????? ?????????????????????????????? ????????????????????????????????????????????? ????????????????????????????????? ???????????????????????????????????? ????????????????????? ???????????????????????????? ? ??? ???????????????????????????????? (??????????????????????????????????????? ?????????????????????????????????????????????? ?????????????????????) ??????????????????????????????????????????? ?????????????????????????????? ? ????????????????????? 6 ????????? ????????????? ? ???????????????????????? ????????????????????????????????? ???????????????????????? ??????????????????????????????? ? ??????????????????????? ????????????????????????????? (??????????????????????????????????????????????) ?????????????????????????? ??????????????????????????? ???????????????????? ? ????????? ??????????????????? 1 ????? ????????????????????? ???????????????????????? ? ??????????????? (????????????????????? ??????????????) ??????????????? ????????????????????? ??????????????? ???????????????????????????????? ?????????????????? ?????????????????? ? ????????????????????????? ??????????????????????????? ? ????????????????????????????????????????? ?????????????????? ? ?????????????????? ?????????????????? ????????????



## ????????



???????????????????????? ????????????????????????? 1 ????????? ?????????????????? ??????????????????????????????????????????? ? ???????????????????????? ???????????????????????????????????????????????????? ??????????????????????????????????????????? ????????????????????????????? ???? ? ??????????????????? ? ???????????????????????????????? ????????????????????????????????????????????????????????? ???????????????????????????????????? ??????????????????????????? ????????????????????????????? ???????????? ??????? ? ?????????????? ???????????????? ???????????????????????????????????????????????????? ? ????????????????



## ??????????????????



??????????????????????????? ?????????????????????????????? ?????????????????????



## ????????



??????????????????????? ??????????????????? ????????????????????????????????? ??????????????????? ???????????????????????????????????????? ??????????????????????????? ???????? 15-20 ????"
????????????????,"- ?????????? 5 ???
- ??? 1 ??? ???????????? 5 ?????????
- ?????? 4 ????
- ???????? 3 ????
- ???????? 3 ????
- ??? 3 ????
- ????????? 1 ??????
- ???????????????
- ???????? 4 ???
- ??????
- ??????","??????????????????? ??????????????????????????????????????? 3 ??????????? ????????????????????? ?????????????????????? ???????????? 2 ????????? ???????????? ??????????????????????????????????? ??????? ???????????????????????????????????? ???????? ???? ????????????????????? ????????????? 1 ?????? ????????????????????? ?????????????????????????? ??????????????? ?????????????? ??????????????????????????????????????? ???????????? 1 ?????? ???????????????????? ????????????????????????? ???????????? ????????????????? ????????? ?????? ??????????? ??????????????????????????????????????????? ????????????? ????????????????????????????????? ????????????????????? ????????????????????????????????????



**????????** ????????????? ??????????????????????? ?????????????????????????????????? ???????????????????????????? ?????????? ???????? ??????????????????? ????????????????????? ?????????????????????????????? ???? ?????????????????????????? ????????? ??????????????????? ????????????????????????????????? ?????? ????????????? ??????????????????? ?????????????????????????????????? ??????????????????????????????????? ?????????????????????????????????? ???????????????????



???????????????????????? ?????????????????????????? ???? ????????? ????????????????????????? ?????? ?????????????????????? ??????????????????????????????????????????????????????????????"
?????????????????,"- ??? 3 ???? 1/4 ????????
- ???????????????????? ? 1 ???
- ??????
- ??????
- ?????? 3 ????
- ??????? 5 ????
- ??? 2 ????
- ???????? 3 ????
- ???????? 5 ???","?????????????????????? ??????????????? ? ???? 5 ????????? ?????? 2 ?????? ????????????????????? ??????????????????? ????????????????? 2 ????????? ?????????????????????????????? 5 ????????? ??????? ???????? ??????? ????????????????????? ???????????????????????????????????????



**????????** ???????????????? ???????????????????????????????? ????????????????????????????? ?"
????????????????," - ??????????????????????
- ????????
- ??????
- ????????
- ?????????
- ???????????
- ??????????????????????
- ??????",????????????????????????????????????? ???????????????? ?????????????????????????????????? ?????????? ??????????????????? 1 ???? ?????????????????????????????????? 1 ???????? ?????????????????? ???????????????????????????????? ??????????????????????????????????? ??????????????????????????????????????????? ????????????????????????????
??????????,"- ??????????? 1 ???
- ?????????????????????? 3/4 ????????
- ????????????? ? 2 ??
- ?????? 5 ???
- ????????
- ?????????????
- ??????
- ??????
- ?????????????

## ?????????????



- ????????? 8 ?????????
- ?????? 10 ???
- ??????? 15 ????
- ???????????? 1/2 ??????
- ????????????????????????????????","??????????????? ???????????????? ???????????????????????????????????????????? 5 ????????? ???????????????????? ???? ? ???????????????????? ????????????????? ??????????????? ??????????????? ???????????????????????? ???? ? ??????????????????????? ????????????????????? ???????????????????????? ?????????????????? ????????????????????? ????????? ??????????????????????????????? ??????????????????? ????????????????????????????? ???????????????????????????????????? ???????????????????? ??????? ???? ???? ??????????????????????????????????? ? ??????????? ??????????????????? ????????????????????????????? ?????????????????? (???????????????? ???????????????) ????????????????????????



???????????????????????????????????????????????? ???????????????????? ???? ???? ???????????????? ????????????????? ??????????? ?????????????????? ????????? 1 1/2 ????????? ???????????????? ???????? ???? ? ????????????????????? ? ????????????????? ? ????????? 3 ?????????



## ?????????????



????????????????????????????????????? ????????????????????? ????????????? ?????????? ??????????????? ??????????????????????"
?????????????????,"- ???????? 1/2 ????????
- ???????? 1 ??????
- ???????????? 1/2 ??????
- ?????? 15 ???
- ???????
- ?????
- ????? 2 ??
- ???????? 7 ????
- ???????
- ???????? 1 ????????
- ?????????",???????????????????????????? ??????? ? ???????????? 3*4 ????????? ?????????????????????? ??????????????????????? ?????????????????????? ??????????????? ????????????????????? ????????????????????? ?????????????????????????????? 3 ????????? ???????????????? 2 ???????? ????????????????????????????????????????????????????? ????????? ???????? ??????????????????????????????? ?????????????????????? (???????????????) ???????? ????????????????????? ???????? ??????? ??????????????????????????
????????????????????,"- ?????? 1 ???
- ????????????????? 1 ??????
- ???????? 2 ??????
- ?????? 1/2 ????",????????????? (????????????????????? 1 ???) ???????????????????? ????????????????? ??????????????????????? ???????????? ?????????????????????
???????????,"- ?????????? 1 ????????
- ??????? 1 ???
- ???????
- ???????
- ???????
- ??????
- ??????
- ?????
- ?????????????",???????????????????????????????? ?????????? ??????????????????????????? ???????????????????? ???????????????????????? ????????????????????? ????????????????????????????????????? ????????????????????? ?????? ?????? ????????????? ????????????????????????????????????????? ??????????????????? ???????????
???????????,"- ??????? (????????) 1 ??????
- ?????????? 2 ??????
- ??? 10 ??????
- ???????? 1-2 ??????
- ??????????????? 1 1/2 ?????? (???????????? ????? ????? ?????????? 1 1/2 - 2 ??????????? ????????????)
- ????????????? 1 ???",????????????????? ????????????? ??????????????????????????? ??? ???????????????????????????????????????????? ????????????????? 2 ????? ?????????????????????????????? ????????????? ?????? 3-4 ??????? ????????????? ? ?????????????????? ?????????????????? ?????????????????? ? ??????????? ?????????????????????????? ? ????? ?????????????????????????? ?
???????????????,"- ????????????? 2 ??
- ?????????????????? 1/2 ????
- ?????????????? 1/4 ????
- ???????????? (???????) ???? 2 ????????
- ???????? 1 ??????
- ?????????????? 2 ????????
- ????? 1 ????????
- ?????????? 1 ???????? (???????????????????????????????????)
- ??????????
- ??????
- ?????????","???????????????????????????????? ??????????????????????????????????????? ?????????????????????????? ??????????????????????????? ??????????????? ? ??????????? (???????????????) ????????????????????????????????????????? ??????????????????? (????????????????????????????????????????????) ???????????????????? ???????????????????????????????????????? ?????????????????? 1 ????????? ????????????????? ????????????????????? ????????????????????????? ? ???????????????????? ? (???????????????? ??????????????????????????????????) ?????????????????????????????? ?????????????????????????????????????????????????????????? ?????????????????????????????????????? ???? 5 ????????? ??????????????????????? ?????????????????????????????????? ?????????? 1 ???????? ????????????????????????????????????????????? ????????????????????????????? ?????????????? ????? ?????? ?????? ?????????????? ??????????????????????????????????????? ?????????????????? ???????????????????? ??????????????????? ?????????????????????????????????????????????? ???????????????????????????? ?????????????????? ????????????????????



**????????** ???????????????????????????????????? ???????????????????????????? ? ??????????? ? ???????????????????????????????? ?????????????????? ? ???????????????????????? ? ????? ? ???????????????????????????????? ???????????????????????????????????????????? ????????????? ?????????????? ? ????????????????????????? ??????????????????? ??????????????????????????????



????? ????????????????????? ???????????????????????????????? ????????????????????? 2 ????????????????????? ? ??????????????????? ??????????????????????? ???????????????? ??????????????????? 1 ??????????????????"
??????????????,"- ????????????? 1 ???
- ??????????? 2 ????????
- ???? 1/2 ????????
- ??????????? 1 ????????
- ????????????????? 1 ??????
- ?????
- ??????
- ??????
- ?????
- ????????????????????","??? ??????? ??????????????????????? 1 ??????????? ????????????????? ????????????? ???????? ???????????? ?????????????????????? ?????????? ?????? ?????? ????? ???????? ????????????? ?????????????????



**????????** ????????????????????????????????????????"
